Timestamp,SpaceLength,SpaceDepth,Lat,Lng,DirectionOfTravel,VehicleSpeed
2017-07-24T14:53:42+01:00, 6.19,5.0,51.240196,-0.575925,179.899994,25.002001
2017-07-24T14:53:43+01:00, 6.42,5.0,51.240124,-0.575917,175.300003,30.372799
2017-07-24T14:53:43+01:00, 6.07,5.0,51.240124,-0.575917,175.300003,30.372799
2017-07-24T14:53:44+01:00, 6.22,5.0,51.240044,-0.5759,172.800003,32.965599
2017-07-24T14:53:45+01:00, 6.14,5.0,51.23996,-0.575879,171.0,34.8176
2017-07-24T14:53:46+01:00, 5.99,5.0,51.23988,-0.575854,166.899994,31.2988
2017-07-24T14:53:46+01:00, 6.30,5.0,51.23988,-0.575854,166.899994,31.2988
2017-07-24T14:53:48+01:00, 6.32, 3.34,51.23975,-0.575771,152.0,27.0392
2017-07-24T14:53:49+01:00, 5.90,5.0,51.239693,-0.575714,146.300003,25.002001
2017-07-24T14:53:50+01:00, 6.18, 2.81,51.239643,-0.575657,143.5,23.520399
2017-07-24T14:53:51+01:00, 6.12,5.0,51.239605,-0.575609,137.800003,17.779202
2017-07-24T14:53:53+01:00, 6.00, 3.64,51.239571,-0.575534,129.199997,8.519199
2017-07-24T14:53:55+01:00, 6.15, 3.42,51.23954,-0.575457,122.400002,18.52
2017-07-24T14:53:56+01:00, 3.78, 2.86,51.239517,-0.575381,112.5,23.705601
2017-07-24T14:53:56+01:00, 2.74, 3.03,51.239517,-0.575381,112.5,23.705601
2017-07-24T14:53:57+01:00, 5.93,5.0,51.239498,-0.575293,106.900002,24.076
2017-07-24T14:53:58+01:00, 6.23,5.0,51.239487,-0.575192,95.800003,27.409601
2017-07-24T14:53:59+01:00, 5.91,5.0,51.239487,-0.575079,90.699997,29.632
2017-07-24T14:54:00+01:00, 6.09,5.0,51.239491,-0.574958,86.199997,30.558001
2017-07-24T14:54:00+01:00, 6.15,5.0,51.239491,-0.574958,86.199997,30.558001
2017-07-24T14:54:01+01:00, 6.24, 3.54,51.239502,-0.574842,80.0,29.076399
2017-07-24T14:54:02+01:00, 6.10,5.0,51.239521,-0.574731,76.199997,30.187599
2017-07-24T14:54:03+01:00, 6.03,5.0,51.23954,-0.574613,76.900002,32.0396
2017-07-24T14:54:04+01:00, 6.35, 2.42,51.239563,-0.574486,76.5,34.8176
2017-07-24T14:54:05+01:00, 6.02,5.0,51.239586,-0.574346,73.800003,37.7808
2017-07-24T14:54:05+01:00, 6.01,5.0,51.239586,-0.574346,73.800003,37.7808
2017-07-24T14:54:06+01:00, 5.98,5.0,51.239605,-0.574203,74.0,37.966
2017-07-24T14:54:07+01:00, 6.28,5.0,51.239632,-0.574062,75.5,36.854801
2017-07-24T14:54:08+01:00, 6.00,5.0,51.239651,-0.573917,74.5,38.151199
2017-07-24T14:54:08+01:00, 6.05,5.0,51.239651,-0.573917,74.5,38.151199
2017-07-24T14:54:09+01:00, 6.41,5.0,51.239677,-0.573768,75.699997,40.1884
2017-07-24T14:54:10+01:00, 5.99,5.0,51.239704,-0.57361,75.900002,42.225597
2017-07-24T14:54:11+01:00, 6.26,5.0,51.239727,-0.573446,77.300003,43.1516
2017-07-24T14:54:11+01:00, 6.10,5.0,51.239727,-0.573446,77.300003,43.1516
2017-07-24T14:54:12+01:00, 5.93,5.0,51.23975,-0.573279,79.5,42.040401
2017-07-24T14:54:13+01:00, 6.39,5.0,51.239758,-0.573119,83.400002,39.818001
2017-07-24T14:54:14+01:00, 5.94,5.0,51.239769,-0.572965,86.0,37.4104
2017-07-24T14:54:15+01:00, 6.03,5.0,51.239773,-0.572818,87.5,35.0028
2017-07-24T14:54:15+01:00, 3.61, 3.70,51.239773,-0.572818,87.5,35.0028
2017-07-24T14:54:16+01:00, 6.07,5.0,51.239777,-0.572682,89.5,32.5952
