Timestamp,SpaceLength,SpaceDepth,Lat,Lng,DirectionOfTravel,VehicleSpeed
2017-07-29T06:55:23+01:00, 6.03, 3.41,51.240673,-0.573214,258.899994,7.0376
2017-07-29T06:55:25+01:00, 5.93,5.0,51.240658,-0.573294,263.700012,11.4824
2017-07-29T06:55:27+01:00, 5.96,5.0,51.24065,-0.5734,267.100006,13.89
2017-07-29T06:55:28+01:00, 3.55,5.0,51.240643,-0.573461,262.700012,14.6308
2017-07-29T06:55:52+01:00, 4.39,5.0,51.24052,-0.574589,261.399994,15.3716
2017-07-29T06:55:55+01:00, 5.97, 3.28,51.240494,-0.574764,252.800003,13.334399
2017-07-29T06:55:56+01:00, 3.86, 2.70,51.240486,-0.57481,263.600006,10.3712
2017-07-29T06:56:32+01:00, 5.32,5.0,51.240459,-0.575271,263.200012,19.445999
2017-07-29T06:56:35+01:00, 6.07,5.0,51.24044,-0.575528,262.299988,22.224001
2017-07-29T06:56:36+01:00, 5.97,5.0,51.240433,-0.575615,260.5,20.927601
2017-07-29T06:56:38+01:00, 6.07, 2.97,51.240417,-0.57577,264.799988,15.186399
2017-07-29T06:56:43+01:00, 6.32,5.0,51.240368,-0.575902,215.5,5.1856
2017-07-29T06:56:45+01:00, 7.25,5.0,51.240314,-0.57593,191.399994,14.445601
2017-07-29T06:56:46+01:00, 5.95,5.0,51.240273,-0.575938,187.100006,16.853201
2017-07-29T06:56:47+01:00, 6.15,5.0,51.240223,-0.575938,179.100006,20.372
2017-07-29T06:56:49+01:00, 6.06,5.0,51.240105,-0.575912,173.0,25.7428
2017-07-29T06:56:50+01:00, 6.09, 3.59,51.24004,-0.575896,172.0,26.483601
2017-07-29T06:56:51+01:00, 6.32,5.0,51.239971,-0.575877,171.100006,27.2244
2017-07-29T06:56:52+01:00, 6.08,5.0,51.239902,-0.575853,166.399994,27.9652
2017-07-29T06:56:53+01:00, 6.14,5.0,51.23983,-0.575815,159.800003,28.705999
2017-07-29T06:56:54+01:00, 6.28,5.0,51.239765,-0.575764,152.199997,29.076399
2017-07-29T06:56:55+01:00, 6.39,5.0,51.2397,-0.575707,149.600006,29.817202
2017-07-29T06:56:56+01:00, 5.98,5.0,51.239639,-0.57564,143.300003,31.113598
2017-07-29T06:56:56+01:00, 6.21,5.0,51.239639,-0.57564,143.300003,31.113598
2017-07-29T06:56:57+01:00, 6.33,5.0,51.239578,-0.575557,132.300003,31.669201
2017-07-29T06:56:58+01:00, 6.30, 2.79,51.239532,-0.575454,119.099998,31.669201
2017-07-29T06:56:59+01:00, 2.70,5.0,51.239498,-0.575343,112.199997,31.669201
2017-07-29T06:56:59+01:00, 5.93,5.0,51.239498,-0.575343,112.199997,31.669201
2017-07-29T06:57:00+01:00, 5.99,5.0,51.239475,-0.575219,99.5,32.0396
2017-07-29T06:57:01+01:00, 6.20,5.0,51.239468,-0.575089,91.5,33.706402
2017-07-29T06:57:02+01:00, 6.31,5.0,51.239471,-0.574955,84.199997,33.891598
2017-07-29T06:57:02+01:00, 6.32,5.0,51.239471,-0.574955,84.199997,33.891598
2017-07-29T06:57:03+01:00, 6.26,5.0,51.239491,-0.57482,76.800003,36.299202
2017-07-29T06:57:04+01:00, 6.05,5.0,51.23951,-0.574673,76.400002,37.225201
2017-07-29T06:57:05+01:00, 5.45,5.0,51.239532,-0.574524,75.599998,38.521599
2017-07-29T06:57:05+01:00, 2.74,5.0,51.239532,-0.574524,75.599998,38.521599
2017-07-29T06:57:06+01:00, 5.95,5.0,51.239559,-0.574373,74.400002,37.5956
